time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-22T07:11:23.920Z,38.8181648,-122.7614975,2.34,1.05,md,18,44,0.01394,0.03,nc,nc72470356,2015-06-22T07:12:55.830Z,"3km W of Cobb, California",earthquake
2015-06-22T07:00:35.760Z,33.5113333,-116.4656667,9.612,0.78,ml,30,74,0.03549,0.18,ci,ci37405672,2015-06-22T07:04:27.283Z,"20km ESE of Anza, California",earthquake
2015-06-22T06:42:28.980Z,38.7949982,-122.7441635,1.06,0.97,md,9,113,0.0131,0.02,nc,nc72470351,2015-06-22T06:44:01.650Z,"2km NNE of The Geysers, California",earthquake
2015-06-22T06:23:35.390Z,36.1679993,-120.1926651,7.15,1.7,md,11,187,0.1262,0.09,nc,nc72470346,2015-06-22T06:25:11.540Z,"8km WSW of Huron, California",earthquake
2015-06-22T06:22:14.000Z,60.3678,-141.0015,42.1,0.8,ml,,,,0.76,ak,ak11631792,2015-06-22T06:51:23.900Z,"86km ENE of Cape Yakataga, Alaska",earthquake
2015-06-22T06:09:30.110Z,33.2686667,-116.7761667,12.403,1.04,ml,29,66,0.03571,0.14,ci,ci37405656,2015-06-22T06:13:39.137Z,"3km NNW of Lake Henshaw, California",earthquake
2015-06-22T06:07:11.911Z,36.4592,-116.3021,15,0.45,ml,12,115.56,0.018,,nn,nn00499520,2015-06-22T06:08:24.672Z,"39km NW of Pahrump, Nevada",earthquake
2015-06-22T06:01:24.920Z,33.4018333,-116.384,3.769,0.39,ml,14,72,0.1361,0.17,ci,ci37405648,2015-06-22T06:05:16.346Z,"16km N of Borrego Springs, California",earthquake
2015-06-22T06:00:27.550Z,33.3283333,-116.2771667,9.793,0.78,ml,29,50,0.1317,0.23,ci,ci37405640,2015-06-22T06:04:28.741Z,"12km NE of Borrego Springs, California",earthquake
2015-06-22T05:31:56.050Z,33.6006667,-116.8135,9.638,0.63,ml,22,61,0.04093,0.1,ci,ci37405632,2015-06-22T05:35:53.463Z,"14km WNW of Anza, California",earthquake
2015-06-22T05:16:20.270Z,36.5737,70.8871,200.17,4.2,mb,,106,0.604,0.89,us,us10002kt7,2015-06-22T09:15:13.548Z,"32km S of Jarm, Afghanistan",earthquake
2015-06-22T05:08:59.000Z,60.9464,-147.3307,24.9,1.1,ml,,,,0.48,ak,ak11631779,2015-06-22T05:46:34.533Z,"56km WSW of Valdez, Alaska",earthquake
2015-06-22T05:04:52.900Z,17.7693,-68.3927,66,3.1,Md,7,277.2,0.74021179,0.63,pr,pr15173003,2015-06-22T09:27:27.060Z,"71km SSE of Boca de Yuma, Dominican Republic",earthquake
2015-06-22T04:54:25.780Z,33.5845,-116.822,9.904,0.41,ml,14,134,0.04919,0.08,ci,ci37405616,2015-06-22T04:58:27.889Z,"14km WNW of Anza, California",earthquake
2015-06-22T04:54:12.730Z,36.2212,-97.5618,2.46,3.7,mb_lg,,35,0.432,0.45,us,us10002kt2,2015-06-22T09:59:02.902Z,"25km WSW of Perry, Oklahoma",earthquake
2015-06-22T04:24:51.000Z,62.5058,-149.0865,40.3,1.5,ml,,,,0.84,ak,ak11631775,2015-06-22T04:58:12.536Z,"55km NE of Y, Alaska",earthquake
2015-06-22T04:23:08.670Z,32.5768333,-115.7165,7.369,1.6,ml,14,203,0.07277,0.2,ci,ci37405600,2015-06-22T04:27:06.256Z,"12km W of Progreso, B.C., MX",earthquake
2015-06-22T04:20:59.800Z,17.8087,-66.3991,17,2.3,Md,9,223.2,0.30452888,0.28,pr,pr15173002,2015-06-22T08:36:47.479Z,"17km S of Santa Isabel, Puerto Rico",earthquake
2015-06-22T04:03:33.310Z,33.1843333,-116.6923333,13.823,1.9,ml,12,134,0.04057,0.18,ci,ci37405592,2015-06-22T04:07:52.362Z,"9km SE of Lake Henshaw, California",earthquake
2015-06-22T04:00:34.950Z,35.7523,-97.3844,6.28,3.4,mb_lg,,28,0.072,0.55,us,us10002kst,2015-06-22T09:27:07.640Z,"13km NE of Edmond, Oklahoma",earthquake
2015-06-22T03:51:43.990Z,33.5995,-116.8151667,9.344,0.39,ml,21,53,0.04083,0.13,ci,ci37405584,2015-06-22T03:55:40.316Z,"14km WNW of Anza, California",earthquake
2015-06-22T03:42:07.830Z,34.4275,-116.551,9.312,1.25,ml,13,137,0.0796,0.17,ci,ci37405568,2015-06-22T03:45:59.690Z,"33km NE of Big Bear City, California",earthquake
2015-06-22T03:39:38.820Z,39.3204994,-121.8903351,5.08,1.78,md,7,131,0.4783,0.35,nc,nc72470291,2015-06-22T03:41:12.340Z,"15km NE of Colusa, California",earthquake
2015-06-22T03:29:07.570Z,38.822834,-122.7994995,3.54,0.73,md,12,82,0.008279,0.04,nc,nc72470271,2015-06-22T03:30:41.290Z,"6km W of Cobb, California",earthquake
2015-06-22T02:47:43.288Z,39.3659,-119.9508,12,0.61,ml,6,115.47,0.099,,nn,nn00499510,2015-06-22T02:48:38.353Z,"12km N of Incline Village, Nevada",earthquake
2015-06-22T02:47:07.890Z,38.7963333,-122.7639999,3.38,0.92,md,9,117,0.02501,0.02,nc,nc72470251,2015-06-22T02:48:42.020Z,"2km NNW of The Geysers, California",earthquake
2015-06-22T02:43:17.560Z,-22.6917,-66.4734,281.88,4.3,mb,,41,2.253,0.87,us,us10002ksq,2015-06-22T10:45:48.501Z,"79km W of Abra Pampa, Argentina",earthquake
2015-06-22T02:19:57.000Z,60.2739,-153.0894,140,2.2,ml,,,,,ak,ak11631758,2015-06-22T02:39:43.450Z,"30km SW of Redoubt Volcano, Alaska",earthquake
2015-06-22T02:19:53.110Z,38.8138351,-122.8241653,2.96,1.01,md,10,93,0.00632,0.02,nc,nc72470241,2015-06-22T02:21:26.840Z,"7km NW of The Geysers, California",earthquake
2015-06-22T02:17:55.810Z,38.7591,142.2397,37.82,4.7,mwr,,135,1.445,1.07,us,us10002ksn,2015-06-22T10:20:25.592Z,"57km SE of Ofunato, Japan",earthquake
2015-06-22T02:14:15.390Z,38.8414993,-122.8381653,2.39,0.28,md,8,129,0.003581,0.02,nc,nc72470236,2015-06-22T02:15:51.770Z,"10km WNW of Cobb, California",earthquake
2015-06-22T02:08:25.130Z,38.8191681,-122.7633362,2.69,0.71,md,8,171,0.0124,0.01,nc,nc72470226,2015-06-22T02:10:00.740Z,"3km W of Cobb, California",earthquake
2015-06-22T02:02:42.000Z,63.1184,-148.9313,81.6,0.7,ml,,,,0.15,ak,ak11631757,2015-06-22T02:39:41.489Z,"30km S of Cantwell, Alaska",earthquake
2015-06-22T01:46:59.900Z,17.8859,-67.182,5,2.6,Md,12,255.6,0.15451023,0.12,pr,pr15173000,2015-06-22T09:49:40.927Z,"9km S of Pole Ojea, Puerto Rico",earthquake
2015-06-22T01:32:55.000Z,61.2336,-151.5446,69.3,2.4,ml,,,,0.78,ak,ak11631744,2015-06-22T02:17:06.983Z,"62km NNW of Nikiski, Alaska",earthquake
2015-06-22T01:22:57.000Z,60.8464,-151.7691,112.6,1.7,ml,,,,1.31,ak,ak11631741,2015-06-22T01:53:31.163Z,"31km NW of Nikiski, Alaska",earthquake
2015-06-22T01:11:33.140Z,33.5925,-116.8201667,9.828,1.38,ml,54,26,0.04394,0.2,ci,ci37405552,2015-06-22T02:29:59.090Z,"14km WNW of Anza, California",earthquake
2015-06-22T01:06:37.700Z,33.5988333,-116.8158333,9.598,0.86,ml,34,55,0.04096,0.13,ci,ci37405544,2015-06-22T01:10:44.035Z,"14km WNW of Anza, California",earthquake
2015-06-22T00:25:27.760Z,6.8163,-73.033,152.26,4.3,mb,,49,0.918,0.87,us,us10002ks8,2015-06-22T08:28:09.039Z,"13km N of Aratoca, Colombia",earthquake
2015-06-22T00:22:23.230Z,38.7608337,-122.7354965,1.81,0.97,md,8,124,0.01075,0.03,nc,nc72470196,2015-06-22T00:23:55.960Z,"2km SE of The Geysers, California",earthquake
2015-06-22T00:21:13.281Z,37.3807,-114.5352,0,1.69,ml,8,307.18,1.007,,nn,nn00499507,2015-06-22T00:23:30.009Z,"26km S of Caliente, Nevada",earthquake
2015-06-22T00:20:53.900Z,38.7588348,-122.7351685,2.12,1.55,md,13,91,0.009529,0.03,nc,nc72470191,2015-06-22T00:22:25.970Z,"2km SE of The Geysers, California",earthquake
2015-06-22T00:16:48.900Z,18.1357,-67.265,22,1.9,Md,5,190.8,0.17517148,0.34,pr,pr15173001,2015-06-22T06:19:01.608Z,"10km NW of Puerto Real, Puerto Rico",earthquake
2015-06-22T00:16:48.583Z,39.7429,-120.189,15,0.66,ml,6,100.7,0.092,,nn,nn00499506,2015-06-22T00:17:47.355Z,"19km WNW of Cold Springs, Nevada",earthquake
2015-06-22T00:15:04.770Z,33.2926667,-116.7448333,12.923,0.99,ml,34,40,0.05773,0.15,ci,ci37405528,2015-06-22T00:19:09.470Z,"6km NNE of Lake Henshaw, California",earthquake
2015-06-22T00:01:55.280Z,35.0495,-118.3585,4.029,1.24,ml,15,61,0.06039,0.18,ci,ci37405520,2015-06-22T00:08:14.379Z,"12km SE of Tehachapi, California",earthquake
2015-06-21T23:55:31.000Z,62.2987,-150.1136,8.4,1,ml,,,,0.47,ak,ak11631733,2015-06-22T00:17:46.664Z,"2km S of Talkeetna, Alaska",earthquake
2015-06-21T23:38:31.000Z,59.3133,-151.7562,26,1.8,ml,,,,0.45,ak,ak11631683,2015-06-22T00:17:45.854Z,"38km SSW of Homer, Alaska",earthquake
2015-06-21T23:18:24.000Z,62.2372,-150.2473,55.9,2.6,ml,,,,0.66,ak,ak11631674,2015-06-22T07:20:55.095Z,"12km SW of Talkeetna, Alaska",earthquake
2015-06-21T22:56:10.000Z,64.9915,-147.3335,7,0.9,ml,,,,0.61,ak,ak11631670,2015-06-21T23:31:21.237Z,"23km NNE of Badger, Alaska",earthquake
2015-06-21T22:54:39.292Z,37.1417,-117.4062,11.5462,1.02,ml,14,142.97,0.149,0.1493,nn,nn00499494,2015-06-21T23:45:23.935Z,"63km WNW of Beatty, Nevada",earthquake
2015-06-21T22:53:29.340Z,33.2715,-116.772,13.188,0.78,ml,20,49,0.03712,0.26,ci,ci37405488,2015-06-21T22:57:42.972Z,"3km NNW of Lake Henshaw, California",earthquake
2015-06-21T22:52:46.160Z,33.3451667,-116.2386667,10.263,0.83,ml,14,104,0.1526,0.19,ci,ci37405480,2015-06-21T22:56:53.597Z,"16km NE of Borrego Springs, California",earthquake
2015-06-21T22:15:57.320Z,34.207,-117.5363333,5.191,1.26,ml,18,89,0.02979,0.24,ci,ci37405472,2015-06-21T22:20:13.721Z,"7km SSW of Lytle Creek, California",earthquake
2015-06-21T22:14:09.450Z,33.7875,-115.71,7.575,0.99,ml,17,88,0.09951,0.19,ci,ci37405464,2015-06-21T22:18:08.834Z,"30km WNW of Desert Center, California",earthquake
2015-06-21T22:09:49.229Z,37.1245,-117.3819,12.8091,0.49,ml,6,150.34,0.128,0.1171,nn,nn00499490,2015-06-21T23:15:15.799Z,"60km WNW of Beatty, Nevada",earthquake
2015-06-21T22:03:24.380Z,34.206,-117.5323333,5.631,0.99,ml,18,76,0.02651,0.09,ci,ci37405456,2015-06-21T22:07:28.862Z,"7km SSW of Lytle Creek, California",earthquake
2015-06-21T21:53:17.087Z,37.1436,-117.3958,11.4067,0.1,ml,4,155.55,0.15,0.0599,nn,nn00499504,2015-06-22T00:14:26.959Z,"62km WNW of Beatty, Nevada",earthquake
2015-06-21T21:28:16.830Z,-20.457,-178.3509,561.41,6,mwb,,25,4.34,1.3,us,us10002kra,2015-06-22T05:30:52.629Z,"42km ENE of Ndoi Island, Fiji",earthquake
2015-06-21T21:22:28.000Z,55.5685,-158.5503,20.3,2.3,ml,,,,0.44,ak,ak11631552,2015-06-22T02:17:07.761Z,"77km S of Chignik Lake, Alaska",earthquake
2015-06-21T21:15:22.960Z,38.8078346,-122.8216629,2.32,1.57,md,20,83,0.01798,0.04,nc,nc72470146,2015-06-21T21:16:55.870Z,"6km WNW of The Geysers, California",earthquake
2015-06-21T20:59:34.380Z,38.8126678,-122.819664,2.8,1.26,md,21,95,0.0159,0.04,nc,nc72470141,2015-06-21T21:01:11.730Z,"6km NW of The Geysers, California",earthquake
2015-06-21T20:58:01.000Z,60.0576,-152.77,96.6,2.5,ml,,,,0.57,ak,ak11631543,2015-06-22T05:00:28.138Z,"47km S of Redoubt Volcano, Alaska",earthquake
2015-06-21T20:43:25.788Z,37.0399,-116.9498,2.6045,0.14,ml,7,191.79,0.09,0.1164,nn,nn00499503,2015-06-22T00:14:13.561Z,"22km NW of Beatty, Nevada",earthquake
2015-06-21T20:37:13.000Z,61.2747,-152.1726,0.1,1.3,ml,,,,0.66,ak,ak11631542,2015-06-21T21:10:52.512Z,"80km NW of Nikiski, Alaska",earthquake
2015-06-21T20:32:55.883Z,37.2809,-116.0259,3.683,0.46,ml,7,272.32,0.098,0.1024,nn,nn00499502,2015-06-21T23:51:05.769Z,"76km W of Alamo, Nevada",earthquake
2015-06-21T20:26:57.000Z,62.984,-149.1923,73.3,1.1,ml,,,,0.31,ak,ak11631540,2015-06-22T01:53:30.366Z,"47km SSW of Cantwell, Alaska",earthquake
2015-06-21T20:17:17.000Z,62.9816,-149.5513,63.5,1.6,ml,,,,0.96,ak,ak11631536,2015-06-21T20:47:21.267Z,"54km SSW of Cantwell, Alaska",earthquake
2015-06-21T20:03:26.680Z,33.054,-116.4365,6.785,1.73,ml,44,34,0.1379,0.21,ci,ci37405384,2015-06-21T20:14:08.320Z,"16km E of Julian, California",earthquake
2015-06-21T19:51:31.880Z,36.6531677,-120.8440018,2.58,1.78,md,6,163,0.04225,0.06,nc,nc72470126,2015-06-21T19:53:06.300Z,"38km SSW of South Dos Palos, California",earthquake
2015-06-21T19:48:05.520Z,40.347332,-124.3598328,10.56,1.85,md,7,297,0.06305,0.02,nc,nc72470121,2015-06-21T19:49:41.240Z,"26km SSW of Ferndale, California",earthquake
2015-06-21T19:44:20.580Z,47.2813333,-122.5511667,64.419,2.31,ml,19,78,0.1268,0.18,uw,uw61042896,2015-06-21T22:46:22.903Z,"2km ENE of Wollochet, Washington",earthquake
2015-06-21T19:37:52.340Z,33.2118333,-116.7421667,9.188,0.81,ml,22,42,0.02767,0.21,ci,ci37405376,2015-06-21T19:42:09.381Z,"4km SSE of Lake Henshaw, California",earthquake
2015-06-21T19:03:25.010Z,34.0683333,-117.2811667,18.005,1.08,ml,29,85,0.1082,0.18,ci,ci37405368,2015-06-21T19:08:01.287Z,"3km NW of Loma Linda, California",earthquake
2015-06-21T18:58:12.400Z,36.2862,-97.5242,5,3,mb_lg,,61,0.429,0.31,us,us10002kqn,2015-06-22T04:26:37.037Z,"21km W of Perry, Oklahoma",earthquake
2015-06-21T18:55:19.790Z,34.2115,-117.5696667,6.617,1.08,ml,22,47,0.05756,0.18,ci,ci37405360,2015-06-21T18:59:37.546Z,"8km SW of Lytle Creek, California",earthquake
2015-06-21T18:54:45.534Z,36.8134,-116.7386,5.6392,-0.22,ml,7,142.1,0.092,0.1501,nn,nn00499484,2015-06-21T21:19:27.037Z,"10km S of Beatty, Nevada",earthquake
2015-06-21T18:33:19.000Z,60.3283,-152.9747,109.7,2.5,ml,,,,0.83,ak,ak11631482,2015-06-22T02:35:51.192Z,"21km SW of Redoubt Volcano, Alaska",earthquake
2015-06-21T18:23:36.000Z,63.1265,-151.4324,0,1.1,ml,,,,0.71,ak,ak11631480,2015-06-21T18:45:36.047Z,"112km NW of Talkeetna, Alaska",earthquake
2015-06-21T18:09:55.354Z,38.29,-116.3967,12.6856,1.57,ml,4,192.54,0.639,0.0878,nn,nn00499472,2015-06-21T18:50:14.719Z,"11km NNW of Warm Springs, Nevada",earthquake
2015-06-21T18:09:27.410Z,38.8113327,-122.8286667,2.13,0.88,md,9,72,0.002493,0.03,nc,nc72470101,2015-06-21T18:11:00.560Z,"7km WNW of The Geysers, California",earthquake
2015-06-21T17:51:37.710Z,36.2889,-96.8767,5,3.1,mb_lg,,106,0.179,0.6,us,us10002kqc,2015-06-21T20:42:40.113Z,"8km SW of Pawnee, Oklahoma",earthquake
2015-06-21T17:44:55.000Z,60.7585,-140.4456,0,1.4,ml,,,,0.7,ak,ak11631477,2015-06-21T18:19:19.368Z,"133km NE of Cape Yakataga, Alaska",earthquake
2015-06-21T17:43:16.000Z,62.323,-141.622,0.1,2.1,ml,,,,1.19,ak,ak11631474,2015-06-21T18:19:20.748Z,"132km SSE of Tok, Alaska",earthquake
2015-06-21T17:21:36.000Z,61.631,-149.9099,35.7,1.2,ml,,,,0.52,ak,ak11631470,2015-06-21T17:54:01.947Z,"4km W of Houston, Alaska",earthquake
2015-06-21T17:19:59.230Z,13.2848,-89.7456,68.83,4.8,mb,,164,0.64,1.09,us,us10002kq9,2015-06-22T01:22:41.361Z,"35km SSE of Acajutla, El Salvador",earthquake
2015-06-21T17:01:23.910Z,18.6173,-69.0095,101.21,4.3,mb,,73,0.604,0.8,us,us10002kq6,2015-06-22T01:04:00.939Z,"4km NW of Guaymate, Dominican Republic",earthquake
2015-06-21T16:58:11.000Z,63.3059,-151.1108,14.3,0.4,ml,,,,0.72,ak,ak11631467,2015-06-21T17:54:01.059Z,"108km W of Cantwell, Alaska",earthquake
2015-06-21T16:44:48.212Z,37.6868,-117.5548,0,0.36,ml,7,204.86,0.46,0.1098,nn,nn00499483,2015-06-21T22:16:06.417Z,"28km W of Goldfield, Nevada",earthquake
2015-06-21T16:40:09.433Z,37.3558,-117.1292,11.1025,-0.18,ml,6,225.13,0.383,0.1007,nn,nn00499482,2015-06-21T20:49:46.009Z,"40km SSE of Goldfield, Nevada",earthquake
2015-06-21T16:07:09.980Z,38.8093338,-122.819664,3.65,1.04,md,15,107,0.007448,0.02,nc,nc72470076,2015-06-21T16:08:44.750Z,"6km WNW of The Geysers, California",earthquake
2015-06-21T15:41:50.151Z,38.7199,-119.6029,10.0369,1.11,ml,6,154.2,0.251,0.1315,nn,nn00499477,2015-06-21T19:16:31.365Z,"22km SSE of Gardnerville Ranchos, Nevada",earthquake
2015-06-21T15:32:18.000Z,65.5459,-149.9117,5.3,0.6,ml,,,,0.85,ak,ak11631424,2015-06-21T15:53:10.877Z,"69km NNE of Manley Hot Springs, Alaska",earthquake
2015-06-21T15:32:03.520Z,38.8083344,-122.8228302,2.72,1.04,md,17,128,0.004988,0.06,nc,nc72470051,2015-06-21T15:33:40.480Z,"6km WNW of The Geysers, California",earthquake
2015-06-21T15:26:27.170Z,38.840332,-122.6933365,3.54,0.92,md,8,172,0.06061,0.02,nc,nc72470041,2015-06-21T15:28:00.480Z,"3km NE of Cobb, California",earthquake
2015-06-21T15:16:38.710Z,30.5447,141.5164,40.72,4.5,mb,,117,2.944,0.86,us,us10002kpu,2015-06-21T23:19:11.616Z,"Izu Islands, Japan region",earthquake
2015-06-21T15:12:15.040Z,19.3805008,-155.2431641,1.66,2.57,md,10,97,0.007306,0.19,hv,hv60964756,2015-06-21T23:14:53.843Z,"5km S of Volcano, Hawaii",earthquake
2015-06-21T15:11:17.636Z,36.9092,-117.3629,8.9509,0.61,ml,6,159.17,0.087,0.1058,nn,nn00499469,2015-06-21T18:14:40.353Z,"53km W of Beatty, Nevada",earthquake
2015-06-21T15:09:09.670Z,47.4043333,-123.2488333,16.43,0.65,md,6,229,0.1695,0.07,uw,uw61042786,2015-06-21T15:43:32.640Z,"23km NNW of Shelton, Washington",earthquake
2015-06-21T14:45:08.700Z,38.8806648,-122.9854965,1.91,1.6,md,8,138,0.04693,0.01,nc,nc72470031,2015-06-21T14:46:45.200Z,"8km NNE of Cloverdale, California",earthquake
2015-06-21T14:31:03.040Z,53.5056,109.1328,10.18,4.5,mb,,60,3.813,0.63,us,us10002kph,2015-06-21T22:33:43.754Z,"11km ENE of Ust'-Barguzin, Russia",earthquake
2015-06-21T14:22:09.860Z,33.6538333,-116.7206667,16.53,0.68,ml,27,61,0.06055,0.14,ci,ci37405208,2015-06-21T16:11:47.531Z,"10km S of Idyllwild, California",earthquake
2015-06-21T14:18:10.930Z,36.6824,142.3242,10,4.5,mb,,169,1.703,1.29,us,us10002kpg,2015-06-21T22:20:50.070Z,"134km ESE of Iwaki, Japan",earthquake
2015-06-21T14:13:10.921Z,38.4837,-118.3252,7.4317,1.31,ml,8,97.81,0.211,0.1412,nn,nn00499434,2015-06-22T02:42:11.704Z,"26km E of Hawthorne, Nevada",earthquake
2015-06-21T14:05:44.000Z,59.2764,-152.4751,72.1,3.3,ml,,,,0.58,ak,ak11631368,2015-06-21T22:08:23.028Z,"66km SW of Homer, Alaska",earthquake
2015-06-21T13:42:51.459Z,37.2663,-116.0312,6.1026,-0.21,ml,9,268.92,0.083,0.0828,nn,nn00499467,2015-06-22T02:42:46.272Z,"75km ENE of Beatty, Nevada",earthquake
2015-06-21T13:38:16.000Z,60.5664,-147.2467,21.7,1.2,ml,,,,0.25,ak,ak11631365,2015-06-21T14:16:06.171Z,"79km SW of Valdez, Alaska",earthquake
2015-06-21T13:24:05.500Z,36.6385002,-121.2720032,8.72,1.5,md,13,78,0.02792,0.07,nc,nc72470016,2015-06-21T13:25:45.590Z,"21km NE of Gonzales, California",earthquake
2015-06-21T12:57:43.960Z,38.8170013,-122.8198318,2.77,1.26,md,21,67,0.009943,0.03,nc,nc72470006,2015-06-21T12:59:21.380Z,"7km NW of The Geysers, California",earthquake
2015-06-21T12:57:18.240Z,38.8165016,-122.8259964,2.74,1.25,md,22,47,0.008017,0.05,nc,nc72470001,2015-06-21T12:58:56.400Z,"7km NW of The Geysers, California",earthquake
2015-06-21T12:36:58.380Z,38.8175011,-122.8180008,2.88,0.92,md,10,89,0.008543,0.04,nc,nc72469981,2015-06-21T12:38:35.220Z,"6km NW of The Geysers, California",earthquake
2015-06-21T12:25:00.120Z,36.5438,-97.2056,5,3.2,mb_lg,,58,0.216,0.37,us,us10002kp4,2015-06-21T13:10:21.521Z,"17km SSE of Tonkawa, Oklahoma",earthquake
2015-06-21T12:20:47.540Z,34.0336667,-117.2563333,18.215,0.91,ml,20,63,0.1067,0.16,ci,ci37405184,2015-06-21T12:24:50.734Z,"2km SSE of Loma Linda, California",earthquake
2015-06-21T12:01:45.796Z,39.535,-120.6011,14.0698,0.48,ml,9,196.67,0.105,0.149,nn,nn00499427,2015-06-22T02:41:10.842Z,"19km E of Downieville, California",earthquake
2015-06-21T11:57:10.140Z,46.6035,-119.808,7.76,0.5,md,7,217,0.03301,0.13,uw,uw61042771,2015-06-21T15:45:04.780Z,"11km SE of Desert Aire, Washington",earthquake
2015-06-21T11:38:46.370Z,33.053,-116.4381667,6.665,2.39,ml,65,30,0.1367,0.22,ci,ci37405176,2015-06-22T06:21:51.303Z,"16km E of Julian, California",earthquake
2015-06-21T11:13:09.290Z,33.5015,-116.5536667,5.782,0.16,ml,11,181,0.04112,0.13,ci,ci37405168,2015-06-21T11:17:03.070Z,"13km ESE of Anza, California",earthquake
2015-06-21T10:59:40.040Z,36.4878333,-89.5626667,9.2,2.37,md,42,28,0.05371,0.12,nm,nm60080557,2015-06-21T19:02:16.862Z,"11km SSW of New Madrid, Missouri",earthquake
2015-06-21T10:59:07.430Z,33.2703333,-116.7786667,13.243,0.67,ml,24,39,0.03811,0.2,ci,ci37405160,2015-06-21T11:03:21.199Z,"4km NNW of Lake Henshaw, California",earthquake
2015-06-21T10:56:55.650Z,38.8074989,-122.7926636,2,1.53,md,25,38,0.002115,0.03,nc,nc72469951,2015-06-21T10:58:30.470Z,"4km NW of The Geysers, California",earthquake
2015-06-21T10:56:03.180Z,-15.725,-73.8647,72.2,4.7,mb,,161,4.275,1.01,us,us10002knu,2015-06-21T18:58:50.679Z,"77km S of Coracora, Peru",earthquake
2015-06-21T10:42:42.010Z,32.7036667,-115.7418333,6.585,0.74,ml,14,94,0.05573,0.21,ci,ci37405152,2015-06-21T10:46:37.914Z,"20km WSW of El Centro, California",earthquake
2015-06-21T10:37:15.692Z,37.338,-117.1238,15.7748,1.01,ml,9,198.44,0.365,0.0924,nn,nn00499422,2015-06-22T02:40:54.403Z,"42km SSE of Goldfield, Nevada",earthquake
2015-06-21T10:36:34.810Z,43.7098333,-121.2535,9.86,-0.25,md,8,110,0.02912,0.24,uw,uw61042761,2015-06-21T15:47:13.590Z,"20km ENE of La Pine, Oregon",earthquake
2015-06-21T10:34:32.640Z,43.7311667,-121.24,11.8,-0.02,md,11,119,0.0104,0.46,uw,uw61042756,2015-06-21T16:09:04.680Z,"20km ESE of Three Rivers, Oregon",earthquake
